date,mean,count
2019-05-31,0.07767191780821908,1314
2019-06-01,0.09578644366197167,568
2019-06-02,0.08500342019543976,614
2019-06-03,0.08455508982035907,1002
2019-06-04,0.1258387782204516,1506
2019-06-05,0.10120390015600603,1282
2019-06-06,0.1177015219842165,1774
2019-06-07,0.11578986301369855,1095
2019-06-08,0.12216760259179252,463
2019-06-09,0.09199299363057319,471
2019-06-10,0.09988611111111079,1080
2019-06-11,0.08690268872802491,1934
2019-06-12,0.07019971941638603,1782
2019-06-13,0.10787456140350851,1026
2019-06-14,0.07365243019648399,967
2019-06-15,0.14600298165137598,436
2019-06-16,0.13248592321755007,547
2019-06-17,0.12177300724637681,1104
2019-06-18,0.07425056179775272,1157
2019-06-19,0.10718961748633876,915
2019-06-20,0.05486120689655164,1160
2019-06-21,0.08976007281553398,824
